2025-03-17 13:14:33,273 - SOS Triggered - Time: 13:14:33, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.41 m/s², Fear: 99.8%
2025-03-17 13:29:39,641 - SOS Triggered - Time: 13:29:39, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.47 m/s², Fear: 99.8%
2025-03-17 13:29:54,648 - SOS Triggered - Time: 13:29:54, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.33 m/s², Fear: 100.0%
2025-03-17 13:30:09,651 - SOS Triggered - Time: 13:30:09, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.42 m/s², Fear: 99.8%
2025-03-17 13:30:29,650 - SOS Triggered - Time: 13:30:29, PPG: 63.3 bpm, GSR: 0.86 µS, Accel: 0.79 m/s², Fear: 70.9%
2025-03-17 13:30:44,654 - SOS Triggered - Time: 13:30:44, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.38 m/s², Fear: 100.0%
2025-03-17 13:30:59,655 - SOS Triggered - Time: 13:30:59, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.46 m/s², Fear: 99.8%
2025-03-17 13:31:14,656 - SOS Triggered - Time: 13:31:14, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.37 m/s², Fear: 100.0%
2025-03-17 13:31:49,653 - SOS Triggered - Time: 13:31:49, PPG: 69.1 bpm, GSR: 0.81 µS, Accel: 0.79 m/s², Fear: 77.9%
2025-03-17 13:32:09,662 - SOS Triggered - Time: 13:32:09, PPG: 115.7 bpm, GSR: 8.50 µS, Accel: 2.91 m/s², Fear: 100.0%
2025-03-17 13:32:29,659 - SOS Triggered - Time: 13:32:29, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.39 m/s², Fear: 100.0%
2025-03-17 13:32:54,658 - SOS Triggered - Time: 13:32:54, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.35 m/s², Fear: 100.0%
2025-03-17 13:33:09,661 - SOS Triggered - Time: 13:33:09, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.47 m/s², Fear: 99.8%
2025-03-17 13:33:24,650 - SOS Triggered - Time: 13:33:24, PPG: 132.0 bpm, GSR: 7.48 µS, Accel: 2.94 m/s², Fear: 100.0%
2025-03-17 13:33:39,672 - SOS Triggered - Time: 13:33:39, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.45 m/s², Fear: 99.8%
2025-03-17 13:33:59,670 - SOS Triggered - Time: 13:33:59, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.38 m/s², Fear: 100.0%
2025-03-17 13:34:14,679 - SOS Triggered - Time: 13:34:14, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.36 m/s², Fear: 100.0%
2025-03-17 13:34:24,675 - SOS Triggered - Time: 13:34:24, PPG: 122.1 bpm, GSR: 8.37 µS, Accel: 2.99 m/s², Fear: 100.0%
2025-03-17 13:34:26,437 - SOS Cancelled by User
2025-03-17 13:34:34,664 - SOS Triggered - Time: 13:34:34, PPG: 114.8 bpm, GSR: 7.53 µS, Accel: 2.94 m/s², Fear: 99.7%
2025-03-17 13:34:37,128 - SOS Cancelled by User
2025-03-17 13:35:09,698 - SOS Triggered - Time: 13:35:09, PPG: 110.4 bpm, GSR: 7.18 µS, Accel: 2.96 m/s², Fear: 100.0%
2025-03-17 13:35:11,568 - SOS Cancelled by User
2025-03-17 13:35:49,703 - SOS Triggered - Time: 13:35:49, PPG: 62.8 bpm, GSR: 1.05 µS, Accel: 0.74 m/s², Fear: 71.4%
2025-03-17 13:36:09,707 - SOS Triggered - Time: 13:36:09, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.44 m/s², Fear: 99.8%
2025-03-17 13:36:24,702 - SOS Triggered - Time: 13:36:24, PPG: 61.1 bpm, GSR: 1.11 µS, Accel: 0.75 m/s², Fear: 83.9%
2025-03-17 13:36:26,817 - SOS Cancelled by User
2025-03-17 13:36:54,706 - SOS Triggered - Time: 13:36:54, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.40 m/s², Fear: 99.8%
2025-03-17 13:37:19,711 - SOS Triggered - Time: 13:37:19, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.43 m/s², Fear: 99.8%
2025-03-17 13:37:39,756 - SOS Triggered - Time: 13:37:39, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.45 m/s², Fear: 99.8%
2025-03-17 13:37:54,748 - SOS Triggered - Time: 13:37:54, PPG: 126.3 bpm, GSR: 8.49 µS, Accel: 2.82 m/s², Fear: 100.0%
2025-03-17 13:38:09,761 - SOS Triggered - Time: 13:38:09, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.46 m/s², Fear: 99.8%
2025-03-17 13:38:29,780 - SOS Triggered - Time: 13:38:29, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.35 m/s², Fear: 100.0%
2025-03-17 13:39:09,777 - SOS Triggered - Time: 13:39:09, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.46 m/s², Fear: 99.8%
2025-03-17 13:40:04,785 - SOS Triggered - Time: 13:40:04, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.29 m/s², Fear: 100.0%
2025-03-17 13:40:19,778 - SOS Triggered - Time: 13:40:19, PPG: 119.0 bpm, GSR: 7.37 µS, Accel: 2.95 m/s², Fear: 99.9%
2025-03-17 13:41:14,776 - SOS Triggered - Time: 13:41:14, PPG: 61.4 bpm, GSR: 1.05 µS, Accel: 0.78 m/s², Fear: 71.0%
2025-03-17 13:41:29,801 - SOS Triggered - Time: 13:41:29, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.44 m/s², Fear: 99.8%
2025-03-17 13:41:54,806 - SOS Triggered - Time: 13:41:54, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.47 m/s², Fear: 99.8%
2025-03-17 13:42:39,839 - SOS Triggered - Time: 13:42:39, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.32 m/s², Fear: 100.0%
2025-03-17 13:42:54,858 - SOS Triggered - Time: 13:42:54, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.45 m/s², Fear: 99.8%
2025-03-17 13:43:14,861 - SOS Triggered - Time: 13:43:14, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.49 m/s², Fear: 99.8%
2025-03-17 13:43:29,876 - SOS Triggered - Time: 13:43:29, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.46 m/s², Fear: 99.8%
2025-03-17 13:43:54,927 - SOS Triggered - Time: 13:43:54, PPG: 118.4 bpm, GSR: 6.96 µS, Accel: 2.91 m/s², Fear: 99.4%
2025-03-17 13:44:09,910 - SOS Triggered - Time: 13:44:09, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.35 m/s², Fear: 100.0%
2025-03-17 13:44:24,918 - SOS Triggered - Time: 13:44:24, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.33 m/s², Fear: 100.0%
2025-03-17 13:44:27,898 - SOS Cancelled by User
2025-03-17 13:49:04,085 - SOS Triggered - Time: 13:49:04, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.44 m/s², Fear: 99.8%
2025-03-17 13:49:19,084 - SOS Triggered - Time: 13:49:19, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.44 m/s², Fear: 99.8%
2025-03-17 13:49:20,893 - SOS Cancelled by User
2025-03-17 13:49:44,106 - SOS Triggered - Time: 13:49:44, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.46 m/s², Fear: 99.8%
2025-03-17 13:49:59,127 - SOS Triggered - Time: 13:49:59, PPG: 118.8 bpm, GSR: 8.23 µS, Accel: 2.71 m/s², Fear: 100.0%
2025-03-17 13:50:29,129 - SOS Triggered - Time: 13:50:29, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.35 m/s², Fear: 100.0%
2025-03-17 13:50:54,122 - SOS Triggered - Time: 13:50:54, PPG: 66.3 bpm, GSR: 0.53 µS, Accel: 0.83 m/s², Fear: 99.1%
2025-03-17 13:51:14,150 - SOS Triggered - Time: 13:51:14, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.43 m/s², Fear: 99.8%
2025-03-17 13:51:29,175 - SOS Triggered - Time: 13:51:29, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.34 m/s², Fear: 100.0%
2025-03-17 13:52:19,216 - SOS Triggered - Time: 13:52:19, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.44 m/s², Fear: 99.8%
2025-03-17 13:52:34,215 - SOS Triggered - Time: 13:52:34, PPG: 68.3 bpm, GSR: 0.59 µS, Accel: 0.79 m/s², Fear: 98.8%
2025-03-17 13:52:59,199 - SOS Triggered - Time: 13:52:59, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.36 m/s², Fear: 100.0%
2025-03-17 17:53:14,508 - SOS Triggered - Time: 17:53:14, PPG: 114.0 bpm, GSR: 7.74 µS, Accel: 2.84 m/s², Fear: 100.0%
2025-03-17 17:53:29,531 - SOS Triggered - Time: 17:53:29, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.46 m/s², Fear: 99.8%
2025-03-17 17:54:09,530 - SOS Triggered - Time: 17:54:09, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.33 m/s², Fear: 100.0%
2025-03-17 17:54:24,532 - SOS Triggered - Time: 17:54:24, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.42 m/s², Fear: 99.8%
2025-03-17 21:57:30,563 - SOS Triggered - Time: 21:57:30, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.36 m/s², Fear: 100.0%
2025-03-17 21:57:50,569 - SOS Triggered - Time: 21:57:50, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.46 m/s², Fear: 99.8%
2025-03-17 21:57:54,431 - SOS Cancelled by User
2025-03-17 21:58:05,577 - SOS Triggered - Time: 21:58:05, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.35 m/s², Fear: 100.0%
2025-03-17 21:58:15,580 - SOS Triggered - Time: 21:58:15, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.44 m/s², Fear: 99.8%
2025-03-17 21:58:30,584 - SOS Triggered - Time: 21:58:30, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.38 m/s², Fear: 100.0%
2025-03-17 21:58:45,578 - SOS Triggered - Time: 21:58:45, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.42 m/s², Fear: 99.8%
2025-03-17 22:20:09,947 - SOS Triggered - Time: 22:20:09, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.47 m/s², Fear: 99.8%
2025-03-17 23:15:03,849 - SOS Triggered - Time: 23:15:03, PPG: 81.5 bpm, GSR: 0.88 µS, Accel: 0.76 m/s², Fear: 72.1%
2025-03-17 23:15:07,167 - SOS Cancelled by User
2025-03-17 23:15:18,889 - SOS Triggered - Time: 23:15:18, PPG: 116.0 bpm, GSR: 7.87 µS, Accel: 3.06 m/s², Fear: 100.0%
2025-03-17 23:15:33,876 - SOS Triggered - Time: 23:15:33, PPG: 73.6 bpm, GSR: 0.73 µS, Accel: 0.78 m/s², Fear: 86.4%
2025-03-17 23:15:35,748 - SOS Cancelled by User
2025-03-17 23:15:43,888 - SOS Triggered - Time: 23:15:43, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.49 m/s², Fear: 99.8%
2025-03-17 23:15:58,868 - SOS Triggered - Time: 23:15:58, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.43 m/s², Fear: 99.8%
2025-03-17 23:16:33,873 - SOS Triggered - Time: 23:16:33, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.46 m/s², Fear: 99.8%
2025-03-17 23:16:58,879 - SOS Triggered - Time: 23:16:58, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.43 m/s², Fear: 99.8%
2025-03-17 23:17:13,873 - SOS Triggered - Time: 23:17:13, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.35 m/s², Fear: 100.0%
2025-03-17 23:17:15,697 - SOS Cancelled by User
2025-03-17 23:17:23,893 - SOS Triggered - Time: 23:17:23, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.32 m/s², Fear: 100.0%
2025-03-17 23:17:48,880 - SOS Triggered - Time: 23:17:48, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.48 m/s², Fear: 99.8%
2025-03-17 23:18:13,878 - SOS Triggered - Time: 23:18:13, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.32 m/s², Fear: 100.0%
2025-03-17 23:18:23,870 - SOS Triggered - Time: 23:18:23, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.44 m/s², Fear: 99.8%
2025-03-17 23:18:33,877 - SOS Triggered - Time: 23:18:33, PPG: 123.4 bpm, GSR: 7.45 µS, Accel: 2.97 m/s², Fear: 100.0%
2025-03-17 23:18:43,876 - SOS Triggered - Time: 23:18:43, PPG: 63.3 bpm, GSR: 0.58 µS, Accel: 0.78 m/s², Fear: 99.0%
2025-03-17 23:18:58,876 - SOS Triggered - Time: 23:18:58, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.44 m/s², Fear: 99.8%
2025-03-17 23:19:08,872 - SOS Triggered - Time: 23:19:08, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.47 m/s², Fear: 99.8%
2025-03-17 23:19:28,907 - SOS Triggered - Time: 23:19:28, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.41 m/s², Fear: 99.8%
2025-03-17 23:19:43,917 - SOS Triggered - Time: 23:19:43, PPG: 72.8 bpm, GSR: 0.69 µS, Accel: 0.78 m/s², Fear: 93.8%
2025-03-17 23:19:58,902 - SOS Triggered - Time: 23:19:58, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.38 m/s², Fear: 100.0%
2025-03-17 23:20:13,913 - SOS Triggered - Time: 23:20:13, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.43 m/s², Fear: 99.8%
2025-03-17 23:20:28,911 - SOS Triggered - Time: 23:20:28, PPG: 120.2 bpm, GSR: 8.30 µS, Accel: 2.86 m/s², Fear: 100.0%
2025-03-17 23:20:43,914 - SOS Triggered - Time: 23:20:43, PPG: 115.0 bpm, GSR: 5.00 µS, Accel: 2.44 m/s², Fear: 99.8%
2025-03-17 23:20:47,010 - SOS Cancelled by User
2025-03-17 23:21:18,915 - SOS Triggered - Time: 23:21:18, PPG: 160.0 bpm, GSR: 12.50 µS, Accel: 4.35 m/s², Fear: 100.0%
